city,latitude-min,latitude-max,longitude-min,longitude-max,n-images
atlanta,33.748995,33.939125,-84.387982,-84.251804,100
austin, 30.266667, 30.466667, -97.750000, -97.633333,100
boston,42.358431,42.463755,-71.058904,-71.001883,100
chicago,41.77346,41.956929,-87.742406,-87.586159,100
dallas,32.706834,32.899145,-96.871904,-96.708354,100
honolulu,21.306944,21.415833,-157.858333,-157.716667,100
houston, 29.760416, 29.908333, -95.366667, -95.216667,100
las-vegas,36.169941,36.308912,-115.139829,-115.001205,100
london, 51.50853, 51.666667, -0.133333, -0.016667,100
los-angeles,33.83837,34.081288,-118.449683,-118.216299,100
miami,25.758385,25.851073,-80.293052,-80.181442,100
new-orleans,29.951066,30.099891,-90.048927,-89.924053,100
new-york-city,40.714272,40.785645,-74.005974,-73.873362,100
paris, 48.856614, 48.933333, 2.333333, 2.183333,100
philadelphia,39.918777,40.047781,-75.188516,-75.139219,100
phoenix,33.448377,33.636768,-112.074037,-111.945259,100
rome, 41.9, 42.066667, 12.866667, 12.716667,100
san-antonio, 29.424122, 29.583333, -98.433333, -98.283333,100
san-diego, 32.715278, 32.933333, -117.200000, -117.033333,100
san-francisco,37.774929,37.869827,-122.419418,-122.308954,100
san-jose,37.338208,37.566193,-121.894470,-121.800724,100
seattle,47.606209,47.738456,-122.332069,-122.202744,100
washington,38.907192,38.997437,-77.036871,-76.947302,100
zurich, 47.35, 47.566667, 8.550000, 8.466667,100
